data;

param y :=   
     1     1
     2     1
     3    -1
     4    -1
     5    -1
     6    -1
     7    -1
     8    -1
     9    -1
    10    -1
    11     1
    12     1
    13    -1
    14     1
    15     1
    16     1
    17     1
    18    -1
    19    -1
    20    -1
    21    -1
    22    -1
    23     1
    24     1
    25     1
    26    -1
    27    -1
    28     1
    29    -1
    30     1
    31     1
    32     1
    33     1
    34    -1
    35     1
    36    -1
    37     1
    38    -1
    39    -1
    40    -1
    41     1
    42     1
    43    -1
    44     1
    45     1
    46    -1
    47     1
    48    -1
    49    -1
    50     1
    51    -1
    52     1
    53    -1
    54    -1
    55     1
    56     1
    57     1
    58    -1
    59    -1
    60    -1
    61     1
    62    -1
    63     1
    64    -1
    65     1
    66     1
    67    -1
    68    -1
    69    -1
    70     1
    71     1
    72     1
    73    -1
    74     1
    75    -1
    76     1
    77     1
    78     1
    79    -1
    80     1
    81    -1
    82     1
    83    -1
    84    -1
    85     1
    86     1
    87     1
    88    -1
    89    -1
    90     1
    91    -1
    92     1
    93    -1
    94    -1
    95     1
    96     1
    97     1
    98     1
    99    -1
   100    -1;

param x : 1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20 :=
	  1   -44   -48   -28    38   -35    23    30   -28    34   -29    46   -25    20    28     8   -43   -27    19   -20    43
	  2    35    24   -24    32    45     2   -38   -36    -6     1   -10    -5   -18   -11    47   -15    10    30   -17     2
	  3    -9    50   -23    32    38   -21    14   -36    48   -38    46   -47   -16    30   -39     6   -25    34   -10    22
	  4   -11     4   -35    35    45    33     0    46    34    50    17   -32    25    42   -27     3   -32    30   -31   -30
	  5    24    27   -26     9    33   -42     2    -3    16    13    29    -1    21   -28    42    37    -3    -8   -44    31
	  6    34    38     1    41   -44    41   -27    12   -15   -11    38   -25   -36   -10   -46    27   -21   -38    19    31
	  7    -3    35    44    22    23    -4   -45    11   -42    20    -2   -27    -7   -40   -35   -25   -44   -38    34    34
	  8   -18    35    47    21    40     3    33   -19     1    -7    12    18   -34     7    33    31    13   -25    31   -15
	  9    -2    32     9   -10    -7   -32    45    14   -19   -42    40     6   -21    29   -44   -33   -24   -13   -33   -26
	 10   -36     8   -41   -11    43    13    40     8    18   -43   -18    30    44    23    29   -17    40    39    36   -25
	 11    27   -40    31   -16   -10     6    30   -48    -3    42     7    -5    -9    49   -40   -22   -48   -17   -29    12
	 12    39    -7    -5   -43    34    36     9    31    -2    44     5    30   -25   -48    -5   -14    -8     0   -49     8
	 13     8    33     0     4     6   -49     3    -4    38   -30    40   -25   -18   -16   -25    38    36   -36   -43   -36
	 14    40   -15    10   -25    10   -36    23     2   -16   -11    18   -18   -31   -21    18     3    15    35    -5    -6
	 15    15     0   -22   -43   -21   -33   -36    10    38    46   -26     2   -42    40    14    24    -3    25    -9    47
	 16    23    14   -15    -4   -49   -45    -7    23   -47   -49     8    21    -1    28    22    14    10   -20    11    24
	 17    29   -40   -47    -4     1    -6    26    40   -47    36     5   -49    31    42   -43   -28   -12   -39    17   -27
	 18   -46     4   -46    -3    35   -18    19    28    -8    36    -4   -45   -28   -30    26    21   -11   -21    29   -42
	 19   -38    43   -12   -41   -18    50   -48   -35    50   -22    38     7   -30    27   -33     1    30    -7    -6    -7
	 20   -20    23    46   -49     7    17   -28    47   -31    18    32    -1    -8    17    48   -20    16    -1    34    23
	 21    -5     8    25    23   -33   -16   -38     8   -48    25   -15   -32     0   -10    12    -9    50     7   -23    -5
	 22   -15    14   -20   -34     4     8   -33   -39   -22    48   -27     9     3    35    -6    -9    14    48   -38    31
	 23    20   -17   -22     3   -25     3   -45    30   -34   -30    -4     0     2   -21   -22     2   -48   -39   -25   -26
	 24   -15     0   -31    -7    37    26    13     5    -4   -35    24    24    26    26    42    16    35    -3    12    44
	 25     8    -4   -11     3     7    33    12   -41    33   -47    26   -12    14    43     9    30   -32    25   -45     0
	 26   -28    45     2    26   -23    43    42   -24    17    38    20   -25    28    47    36   -20   -12    17    25    32
	 27   -45   -35   -43   -17   -41    10    49     8   -33    18    19   -22   -30    12    17   -42   -44    12    -9   -13
	 28    44   -32   -41    40    27   -41   -20    18    19   -27   -39    45    17   -46    20    10   -47   -37    28    40
	 29    24    28   -42     1   -32    34    45   -30   -24   -15    42    19    10   -36   -34    40   -18    33   -39   -45
	 30    41   -41   -42   -33     2    31   -37   -27   -14   -46    -2   -18     4    47   -35    32   -10    45    42     4
	 31    37    -1   -43   -10   -22    26   -45   -12    -5   -14    -9     9   -26    -6   -49    -6   -37    18   -34    42
	 32    15   -22   -44    10     3   -43    17   -15   -36   -16    -4    36    -7     8    29   -47    17    19    37   -33
	 33    -2    -6    29   -29    30    33   -46   -30   -22    26   -45    36   -16    38   -20   -11     2    45   -27   -44
